,Place,Name,Unnamed: 2,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Tourney
0,1,/tournament/61a415d39265f87e5e68c5ef/player/augustoberinguer,,32,10 - 0 - 2,,,Umbreon Urshifu,/tournament/61a415d39265f87e5e68c5ef/player/augustoberinguer/decklist,/tournament/61a415d39265f87e5e68c5ef/standings
1,2,/tournament/61a415d39265f87e5e68c5ef/player/juatine,,30,10 - 2 - 0,,,Mew Genesect,/tournament/61a415d39265f87e5e68c5ef/player/juatine/decklist,/tournament/61a415d39265f87e5e68c5ef/standings
2,3,/tournament/61a415d39265f87e5e68c5ef/player/goopa19,,25,8 - 2 - 1,,,Umbreon Urshifu,/tournament/61a415d39265f87e5e68c5ef/player/goopa19/decklist,/tournament/61a415d39265f87e5e68c5ef/standings
3,4,/tournament/61a415d39265f87e5e68c5ef/player/luhbra,,24,8 - 3 - 0,,,Mew Genesect,/tournament/61a415d39265f87e5e68c5ef/player/luhbra/decklist,/tournament/61a415d39265f87e5e68c5ef/standings
4,5,/tournament/61a415d39265f87e5e68c5ef/player/poornico,,22,7 - 2 - 1,,,Zacian,/tournament/61a415d39265f87e5e68c5ef/player/poornico/decklist,/tournament/61a415d39265f87e5e68c5ef/standings
5,6,/tournament/61a415d39265f87e5e68c5ef/player/coronelzeta,,22,7 - 2 - 1,,,Victini Inteleon,/tournament/61a415d39265f87e5e68c5ef/player/coronelzeta/decklist,/tournament/61a415d39265f87e5e68c5ef/standings
6,7,/tournament/61a415d39265f87e5e68c5ef/player/blastobro,,22,7 - 2 - 1,,,Zacian,/tournament/61a415d39265f87e5e68c5ef/player/blastobro/decklist,/tournament/61a415d39265f87e5e68c5ef/standings
7,8,/tournament/61a415d39265f87e5e68c5ef/player/madmess,,21,7 - 3 - 0,,,Urshifu Inteleon,/tournament/61a415d39265f87e5e68c5ef/player/madmess/decklist,/tournament/61a415d39265f87e5e68c5ef/standings
8,1,/tournament/61aa718c9265f87e5e68ddbf/player/vina,,37,12 - 0 - 1,,,Mew Genesect,/tournament/61aa718c9265f87e5e68ddbf/player/vina/decklist,/tournament/61aa718c9265f87e5e68ddbf/standings
9,2,/tournament/61aa718c9265f87e5e68ddbf/player/marc22x,,31,10 - 2 - 1,,,Mew Genesect,/tournament/61aa718c9265f87e5e68ddbf/player/marc22x/decklist,/tournament/61aa718c9265f87e5e68ddbf/standings
